Søgelayout,Klik,Eksponeringer,CTR,Placering
Udvidede resultater for opskrifter,65,2991,2.17%,25.41
Galleri for opskrifter,37,932,3.97%,4.89
Produktuddrag,15,852,1.76%,10.59
